CVEGEO,CENSO,VIVIENDA,HABITANTE,VIAJES_VIVIENDA,VIAJES_ORIGEN,VIAJES_DESTINO
1.412E+12,24B,,,,24B,24B
1.4097E+12,24A,24A,24A,24A,24A,24A
1.4097E+12,24A,,,,,
1.412E+12,24A,,,,,
1.412E+12,24A,24A,24A,24A,24A,24A
1.412E+12,24A,,,,24A,24A
1.412E+12,25,25,25,25,25,25
1.412E+12,25,25,25,25,25,25
1.412E+12,25,25,25,25,25,25
1.412E+12,25,25,25,25,25,25
1.412E+12,25,25,25,25,25,25
1.412E+12,23,23,23,23,23,23
1.412E+12,23,23,23,23,23,23
1.412E+12,23,23,23,23,23,23
1.412E+12,25,25,25,25,25,25
1.412E+12,25,25,25,25,25,25
141200001707A,25,25,25,25,25,25
1.412E+12,23,23,23,23,23,23
1.412E+12,23,23,23,23,23,23
1.412E+12,23,23,23,23,23,23
1.412E+12,23,,,,23,23
1.412E+12,23,23,23,23,23,23
141200001632A,23,,,,23,23
1.412E+12,25,,,,,
1.412E+12,23,,,,,
1.412E+12,25,,,,,
1.412E+12,23,,,,,
1.412E+12,23,23,23,23,23,23
1.412E+12,23,,,,,
141200001237A,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,,
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,23,,,,,
1.412E+12,22,22,22,22,22,22
1.412E+12,43,43,43,43,43,43
1.412E+12,24A,24A,24A,24A,24A,24A
1.412E+12,22,22,22,22,22,22
140970424098A,22,22,22,22,22,22
1.412E+12,22,22,22,22,22,22
141200001340A,22,22,22,22,22,22
1.412E+12,22,22,22,22,22,22
1.4097E+12,22,,,,22,22
1.4097E+12,22,22,22,22,22,22
1.4098E+12,22,22,22,22,22,22
1.412E+12,22,22,22,22,22,22
1.412E+12,22,22,22,22,22,22
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
141200001550A,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
141200001447A,24B,,,,24B,24B
141200001251A,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,65A,65A,65A,65A,65A,65A
1.412E+12,65A,,,,65A,65A
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,65A,65A,65A,65A,65A,65A
1.412E+12,65A,65A,65A,65A,65A,65A
1.412E+12,69B,69B,69B,69B,69B,69B
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,23,23,23,23,23,23
1.412E+12,65A,,,,65A,65A
1.412E+12,23,23,23,23,23,23
1.412E+12,23,24B,24B,24B,24B,24B
141200001479A,23,,,,,
1.412E+12,23,,,,23,23
1.412E+12,24B,,,,24B,24B
1.412E+12,23,,,,,
1.412E+12,65A,65A,65A,65A,65A,65A
1.412E+12,65A,,,,65A,65A
1.412E+12,65A,,,,65A,65A
1.412E+12,65A,,,,65A,65A
141200001397A,65A,,,,65A,65A
1.412E+12,65A,,,,,
1.412E+12,65A,,,,65A,65A
1.412E+12,65A,,,,,
141200001582A,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,21A,,,,21A,21A
